"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"M3ILUJR7","newspaperArticle","2024","Pagano, Elizabeth","End of a dashboard","Austin Monitor","","","","https://www.austinmonitor.com/?post_type=amon_whispers&p=148042","In a sign of the times, the city is retiring its Covid-19 dashboard. The dashboard, which had a devoted daily audience during the height of the pandemic, had “millions of views during its run” and was once a primary tool…","2024-04-12","2024-04-12 19:11:18","2025-03-28 00:09:02","2024-04-12 19:11:18","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\34XKW2SL\end-of-a-dashboard.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9A3QS9BD","newspaperArticle","2024","Pagano, Elizabeth","Transportation and Public Works has data for you","Austin Monitor","","","","https://www.austinmonitor.com/stories/whispers/transportation-and-public-works-has-data-for-you/","A new report from the Transportation and Public Works Department details advancements made in 2023, which include completion of the mobility bond-backed sidewalk initiative with 56 miles of projects last year, improved mobility access, a budget overview and a new…","2024-03-20","2024-04-12 19:12:39","2025-03-28 00:08:48","2024-04-12 19:12:39","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\24RZ945M\transportation-and-public-works-has-data-for-you.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQC8YIC9","newspaperArticle","2011","Stiles, Matt","Senate OKs Bill to Promote Texas Data Transparency","Texas Tribune","","","","https://www.texastribune.org/2011/04/06/senate-oks-bill-to-promote-texas-data-transparency/","Data enthusiasts may be cringing at proposed federal cuts to transparency websites, but the Texas Senate passed a bill today that would promote state transparency by requiring agencies to post ""high-value"" data sets online. According to the bill…","2011-04-06","2024-05-17 00:58:54","2025-03-24 23:52:47","2024-05-17 00:58:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\alici\Zotero\storage\NPNQH849\Senate-OKs-Bill-to-Promote-Texas-Data-Transparency-a3fa53457806d485cb76e90fbcf60a888.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUAFTU4C","newspaperArticle","2024","Freer, Emma","APD announces partial release of mandated data dashboard","Austin Monitor","","","","https://www.austinmonitor.com/stories/2024/01/apd-announces-partial-release-of-mandated-data-dashboard/","The Austin Police Department will transition the chief’s monthly report from a PDF format to an online dashboard complete with explanations and definitions available through the city’s open data portal. The planned dashboard release date is Jan. 18, according to…","2024-01-11","2024-07-26 22:33:41","2025-03-28 00:07:21","2024-07-26 22:33:41","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\5MH3FXVS\apd-announces-partial-release-of-mandated-data-dashboard.html","","city council resolution; public info requests; staff funding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEDBCG2D","newspaperArticle","2019","Swiatecki, Chad","Open data movement brings tough questions for city-led panel","Austin Monitor","","","","https://www.austinmonitor.com/stories/2019/03/open-data-movement-brings-tough-questions-for-city-led-panel/","With Austin chock-full of forward-thinking tech professionals and ideologues from a variety of industries attending South by Southwest, the city and several leaders behind the movement for open data gathered this week to examine where that cause is headed. The…","2019-03-15","2024-08-04 20:46:30","2025-03-27 23:52:51","2024-08-04 20:46:30","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\JFP2SNBC\open-data-movement-brings-tough-questions-for-city-led-panel.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55P53JGP","newspaperArticle","2013","Harper, Marques G.","Central Texas cities look to apps to better serve residents","Austin American-Statesman","","","","https://www.statesman.com/story/news/2013/03/07/central-texas-cities-look-to-apps-to-better-serve-residents/10060670007/","At least four Central Texas cities have decided to go mobile, using free smartphone apps to better serve residents.   But the apps’ price tags vary. Pflugerville recently approved spending $103,600 f…","2013-03-07","2024-08-10 21:47:30","2025-03-05 21:52:59","2024-08-10 21:47:30","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\QGJQVBJ6\10060670007.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55XYZN46","newspaperArticle","2023","McCarthy, Ella","Austin city website misreporting up to hundreds of thousands of records, audit finds","Austin American-Statesman","","","","https://www.statesman.com/story/news/local/2023/07/27/austins-open-data-portal-is-misreporting-records-audit-finds/70476247007/","The Open Data Portal is the city of Austin's website with a range of city data including public safety, transportation and permitting.","2023-07-27","2024-08-10 21:48:30","2024-11-14 18:18:09","2024-08-10 21:48:30","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\ZQ4QC7WP\70476247007.html","","data quality; audit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SC5C4J8V","newspaperArticle","2023","McCarthy, Ella","Austin City Council members vote to take first steps in regularly publishing APD data","Austin American-Statesman","","","","https://www.statesman.com/story/news/local/2023/09/13/apd-dps-transparency-data-austin-city-council-vote-open-policing-data-release/70825981007/","The ""APD Open Policing Data Release"" resolution calls for putting 911 call information and response time by priority on city websites.","2023-09-13","2024-08-10 21:49:12","2024-11-14 18:11:24","2024-08-10 21:49:12","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\GYYEPFGN\70825981007.html","","city council resolution; public info requests","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JD299XSX","newspaperArticle","2017","Gallaga, Omar L.","ATX Civic Tech Expo previews June 1-2 Hackathon weekend","Austin American-Statesman","","","","https://www.statesman.com/story/news/2017/03/09/atx-civic-tech-expo-previews-june-1-2-hackathon-weekend/10175593007/","On Thursday, a part of City Hall was turned into a small hacker expo in order to get across a message: hackers are doing some good work for Austin.    At an  ATX Civic Tech Expo , some of the apps th…","2017-03-08","2024-08-10 21:49:57","2024-11-07 22:45:07","2024-08-10 21:49:57","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\37CLE3E7\10175593007.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAMM4NHZ","newspaperArticle","2012","Writer, Staff","Community Briefing: Austin's new website up and running; Round Rock chamber plans business expo at Dell Diamond","Austin American-Statesman","","","","https://www.statesman.com/story/news/local/2012/01/27/community-briefing-austin-s-new/6701296007/","AUSTIN   City website ends test, goes live   After a monthlong public beta testing period, the City of Austin officially launched its new website, austintexas.gov, on Thursday. The site is 100 percen…","2012-01-27","2024-08-10 21:50:26","2024-10-18 19:30:36","2024-08-10 21:50:26","","","","","","","Community Briefing","","","","","","","en-US","","","","","","","","","C:\Users\alici\Zotero\storage\4SXNVHUV\6701296007.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
