"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"D2SQ9N4Y","newspaperArticle","2022","McLean, Tessa","How SF convinced thousands of people to adopt storm drains","SFGATE","","","","https://www.sfgate.com/local/article/Adopt-a-Drain-program-SF-16641794.php","","2022-11-30","2024-04-08 14:51:39","2024-12-17 17:46:46","2024-04-08 14:51:39","","","","","","","","","","","","","","","","","","","","","","","C:\Users\alici\Zotero\storage\BQ5289VZ\Adopt-a-Drain-program-SF-16641794.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTAUIPHC","newspaperArticle","2024","Li, Roland; Stiefel, Emma","SF sales down 28% from 2019. What sectors and areas were hit hardest?","San Francisco Chronicle","","","","https://www.sfchronicle.com/bayarea/article/sf-sales-tax-neighborhood-19394489.php","","2024-04-15","2024-06-16 00:10:35","2026-08-24 14:50:31","2024-06-16 00:10:35","","","","","","","","","","","","","","","","","","","","","The map below shows sales tax revenue growth by census block, the most detailed geographic data published by the San Francisco government. Data in this map does not include taxes paid by businesses with multiple locations in different census blocks.","","C:\Users\alici\Zotero\storage\8YYDPAFS\sf-sales-tax-neighborhood-19394489.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bay Area - San Francisco","","","",""
"64EHGIUU","newspaperArticle","2024","Gollan, Susie; Neilson, Jennifer","Police chase deaths reach record highs in the U.S., new data shows","San Francisco Chronicle","","","","https://www.sfchronicle.com/bayarea/article/police-chase-deaths-hit-record-highs-u-s-19396104.php","New federal data shows that deaths from police chases reached an all-time high in 2022, the latest year with figures available.","2024-04-11","2024-06-16 00:11:47","2026-08-24 19:44:15","2024-06-16 00:11:47","","","","","","","","","","","","","","en","","","","","","","National Highway Traffic Safety Administration (NHTSA) deaths resulting from vehicle pursuits","","C:\Users\alici\Zotero\storage\68IL6VHB\police-chase-deaths-hit-record-highs-u-s-19396104.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bay Area","","","",""
"VICS3I6S","newspaperArticle","2024","Waxmann, Laura","New data suggests it could take nearly 20 years for S.F.’s struggling office market to recover","San Francisco Chronicle","","","","https://www.sfchronicle.com/realestate/article/sf-office-recovery-2042-19509691.php","New data suggests it could take nearly 20 years for San Francisco’s struggling office market to recover","2024-06-12","2024-06-16 00:17:33","2026-08-24 14:44:08","2024-06-16 00:17:33","","","","","","","","","","","","","","en","","","","","","","According to Avison Young’s data, the city’s office market recorded a total of 6 million square feet of negative net absorption last year, referring to the amount of space that became vacant and available for leasing.","","C:\Users\alici\Zotero\storage\2XNXW5PY\sf-office-recovery-2042-19509691.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Real Estate","","","",""
"IZBZM6FB","newspaperArticle","2023","Swan, Rachel; Rezal, Adriana","San Francisco car thefts: These neighborhoods are the hot spots","San Francisco Chronicle","","","","https://www.sfchronicle.com/crime/article/car-theft-san-francisco-18387300.php","","2023-09-28","2024-06-16 00:22:34","2026-08-24 19:56:04","2024-06-16 00:22:34","","","","","","","","","","","","","","","","","","","","","Car thefts in San Francisco are up 11% compared with the same period a year ago, according to San Francisco Police Department data.","","C:\Users\alici\Zotero\storage\YFMJNXFW\car-theft-san-francisco-18387300.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bay Area - Crime","","","",""
"HZYCZNQF","newspaperArticle","2024","Sumida, Nami; Toledo, Aldo","How S.F. election turnout might have helped moderates win","San Francisco Chronicle","","","","https://www.sfchronicle.com/election/article/sf-march-election-moderates-vs-progressives-turnou-18707792.php","How S.F. election turnout might have helped moderates win big in Tuesday’s primary.","2024-03-06","2024-06-16 15:58:50","2026-08-24 19:43:04","2024-06-16 15:58:50","","","","","","","","","","","","","","en","","","","","","","Department of Elections","","C:\Users\alici\Zotero\storage\EIZ5EUH4\sf-march-election-moderates-vs-progressives-turnou-18707792.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Politics - Election","","","",""
"NIDXEQQS","newspaperArticle","2022","Picon, Andres","S.F. expands mobile COVID-19 testing in bid for greater equity","San Francisco Chronicle","","","","https://www.sfchronicle.com/bayarea/article/S-F-expands-mobile-COVID-19-testing-in-bid-for-17019150.php","The new testing strategy is designed to allow the city to target specific neighborhoods...","2022-03-22","2024-06-16 16:00:37","2024-12-10 16:50:23","2024-06-16 16:00:37","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\alici\Zotero\storage\VCHE73LW\S-F-expands-mobile-COVID-19-testing-in-bid-for-17019150.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFFQQP5N","newspaperArticle","2022","Echeverria, Danielle","City Hall corruption: SF Environment employees ‘repeatedly’ violated ethics rules, report says","San Francisco Chronicle","","","","https://www.sfchronicle.com/sf/article/City-Hall-corruption-SF-Environment-employees-17067369.php","The San Francisco Controller’s Office said Friday employees with the San Francisco...","2022-04-08","2024-06-16 16:09:58","2024-12-10 16:50:12","2024-06-16 16:09:58","","","","","","","City Hall corruption","","","","","","","en","","","","","","","","","C:\Users\alici\Zotero\storage\WZESW3AJ\City-Hall-corruption-SF-Environment-employees-17067369.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7KU4KJE","newspaperArticle","2016","Johnson, Lizzie","SF letting residents adopt, name storm drains to fight flooding","San Francisco Chronicle","","","","https://www.sfchronicle.com/bayarea/article/SF-letting-residents-adopt-name-storm-drains-to-10816481.php","SF letting residents adopt, name storm drains to fight flooding","2016-12-24","2024-06-16 16:11:30","2025-01-10 22:34:22","2024-06-16 16:11:30","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\alici\Zotero\storage\LI933LRR\SF-letting-residents-adopt-name-storm-drains-to-10816481.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W59MYZNU","newspaperArticle","2023","Flores, Jessica","How to protect yourself and your property from flooding in Bay Area storms","San Francisco Chronicle","","","","https://www.sfchronicle.com/weather/article/how-to-protect-yourself-and-your-property-from-17692498.php","As the San Francisco Bay Area braces for another storm, emergency officials say residents can take measures in advance to protect themselves and their homes from flooding.","2023-01-03","2024-06-16 16:11:57","2024-12-10 16:49:06","2024-06-16 16:11:57","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\alici\Zotero\storage\2YMN3ZH7\how-to-protect-yourself-and-your-property-from-17692498.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
